product,additive,internal_standard,corr_factor,product_scaled,additive_scaled,Sample Name,Data File,Location,UV210_toluidine Rt(min),UV210_toluidine AreaAbs,UV210_P2Et Rt(min),UV210_P2Et AreaAbs,UV210_CF3_product Rt(min),UV210_CF3_product AreaAbs,UV210_Internal_standard Rt(min),UV210_Internal_standard AreaAbs,UV210_Additive_15 Rt(min),UV210_Additive_15 AreaAbs,UV210_Additive_17 Rt(min),UV210_Additive_17 AreaAbs,UV210_CF3-Cl Rt(min),UV210_CF3-Cl AreaAbs,UV210_CF3-Br Rt(min),UV210_CF3-Br AreaAbs,UV210_CF3-I Rt(min),UV210_CF3-I AreaAbs,UV210_OMe-Cl Rt(min),UV210_OMe-Cl AreaAbs,UV210_OMe_product Rt(min),UV210_OMe_product AreaAbs,UV210_OMe-Br Rt(min),UV210_OMe-Br AreaAbs,UV210_OMe-I Rt(min),UV210_OMe-I AreaAbs,UV210_Et-Cl Rt(min),UV210_Et-Cl AreaAbs,UV210_Et_product Rt(min),UV210_Et_product AreaAbs,UV210_Et-Br Rt(min),UV210_Et-Br AreaAbs,UV210_Additive_19 Rt(min),UV210_Additive_19 AreaAbs,UV210_Et-I Rt(min),UV210_Et-I AreaAbs,UV210_2pyr-Cl Rt(min),UV210_2pyr-Cl AreaAbs,UV210_2pyr_product Rt(min),UV210_2pyr_product AreaAbs,UV210_2pyr-Br Rt(min),UV210_2pyr-Br AreaAbs,UV210_2pyr-I Rt(min),UV210_2pyr-I AreaAbs,UV210_Additive_13 Rt(min),UV210_Additive_13 AreaAbs,UV210_3pyr-Cl Rt(min),UV210_3pyr-Cl AreaAbs,UV210_3pyr_product Rt(min),UV210_3pyr_product AreaAbs,UV210_3pyr-Br Rt(min),UV210_3pyr-Br AreaAbs,UV210_3pyr-I Rt(min),UV210_3pyr-I AreaAbs,UV210_BTMG Rt(min),UV210_BTMG AreaAbs
20246.25469,0,21544.87361,2.843725517,20.04239857,0,2017-Jan26-1536-CN-Plate1-161.Raw,2017-jan26-1536-cn-plate1-161.raw,11:A,0.466,38211.97391,0,0,0,0,1.776,21544.87361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.754,20246.25469,0.627,17934.90045,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18704.08795,0,20463.17051,2.843725517,19.49452071,0,2017-Jan26-1536-CN-Plate1-177.Raw,2017-jan26-1536-cn-plate1-177.raw,12:A,0.467,37933.57856,0,0,0,0,1.776,20463.17051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.755,18704.08795,0,0,0.704,9217.86106,0,0,0,0,0,0,0,0,0,0,0,0
13382.19324,0,23029.63142,2.174082389,9.474964289,0,2017-Jan26-1536-CN-Plate1-193.Raw,2017-jan26-1536-cn-plate1-193.raw,13:A,0.467,42371.70821,0,0,0,0,1.776,23029.63142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.597,9360.95249,0.723,13382.19324,0,0,0,0,0,0
13931.53131,0,22133.47263,2.174082389,10.26328927,0,2017-Jan26-1536-CN-Plate1-209.Raw,2017-jan26-1536-cn-plate1-209.raw,14:A,0.467,40587.28696,0,0,0,0,1.776,22133.47263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.723,13931.53131,0.644,16716.49159,0,0,0,0
18831.98040,0,20547.45276,2.174082389,14.9442896,0,2017-Jan26-1536-CN-Plate1-225.Raw,2017-jan26-1536-cn-plate1-225.raw,15:A,0.467,43330.14749,0,0,0,0,1.776,20547.45276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.723,18831.98040,0,0,0.706,20100.08989,0,0
,0,20054.19145,,0,0,2017-Jan26-1536-CN-Plate1-241.Raw,2017-jan26-1536-cn-plate1-241.raw,16:A,0.468,47202.86040,0,0,0,0,1.776,20054.19145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41660.65076,0,21546.26129,1.042356705,15.11582189,0,2017-Jan26-1536-CN-Plate1-257.Raw,2017-jan26-1536-cn-plate1-257.raw,17:A,0.467,34451.18401,0,0,1.396,41660.65076,1.776,21546.26129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.429,42157.16425
80614.61695,1067.71144,22191.62305,1.042356705,28.39895545,0.360849496,2017-Jan26-1536-CN-Plate1-273.Raw,2017-jan26-1536-cn-plate1-273.raw,18:A,0.466,17153.67379,0,0,1.396,80614.61695,1.776,22191.62305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.400,1067.71144,0,0,0,0,0,0,0,0,0.427,57163.93761
90327.54831,1514.16866,20538.75557,1.042356705,34.38141407,0.552918856,2017-Jan26-1536-CN-Plate1-289.Raw,2017-jan26-1536-cn-plate1-289.raw,19:A,0.466,11175.70489,0,0,1.396,90327.54831,1.776,20538.75557,0,0,0,0,0,0,0,0,1.316,5051.97928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.401,1514.16866,0,0,0,0,0,0,0,0,0.427,62618.46012
1132.10275,0,21363.32469,0.948682226,0.377050084,0,2017-Jan26-1536-CN-Plate1-305.Raw,2017-jan26-1536-cn-plate1-305.raw,20:A,0.469,46997.71210,0,0,0,0,1.776,21363.32469,0,0,0,0,0,0,0,0,0,0,1.076,21796.36386,1.225,1132.10275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.430,44454.68108
28710.31695,0,22588.26179,0.948682226,9.043513945,0,2017-Jan26-1536-CN-Plate1-321.Raw,2017-jan26-1536-cn-plate1-321.raw,21:A,0.468,40106.46595,0,0,0,0,1.776,22588.26179,0,0,0,0,0,0,0,0,0,0,0,0,1.225,28710.31695,1.114,26724.40359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.432,27841.72179
38324.44882,2014.64990,20162.81158,0.948682226,13.524053,0.749393237,2017-Jan26-1536-CN-Plate1-337.Raw,2017-jan26-1536-cn-plate1-337.raw,22:A,0.468,36288.91835,0,0,0,0,1.776,20162.81158,0,0,0,0,0,0,0,0,0,0,0,0,1.224,38324.44882,0,0,1.174,32951.87102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.400,2014.64990,0,0,0,0,0,0,0,0,0.431,30995.22829
6532.19647,0,21513.82141,1.337543187,3.045865819,0,2017-Jan26-1536-CN-Plate1-353.Raw,2017-jan26-1536-cn-plate1-353.raw,23:A,0.468,44912.40929,0,0,0,0,1.776,21513.82141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.311,15933.96467,1.421,6532.19647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.429,43388.80949
56677.20563,1596.92786,21442.77404,1.337543187,26.51530021,0.558554561,2017-Jan26-1536-CN-Plate1-369.Raw,2017-jan26-1536-cn-plate1-369.raw,24:A,0.467,32228.32512,0,0,0,0,1.776,21442.77404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.421,56677.20563,1.341,20705.74732,0,0,0,0,0,0,0,0,0,0,0,0,0.400,1596.92786,0,0,0,0,0,0,0,0,0.430,35973.87028
2822.31434,3201.96844,17630.75737,1.042356705,1.25144582,1.362094855,2017-Jan26-1536-CN-Plate1-2.Raw,2017-jan26-1536-cn-plate1-2.raw,1:B,0.464,30123.63573,0,0,1.395,2822.31434,1.774,17630.75737,0.639,3201.96844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21894.80990,3775.23555,21103.63142,1.042356705,8.110761371,1.341677495,2017-Jan26-1536-CN-Plate1-18.Raw,2017-jan26-1536-cn-plate1-18.raw,2:B,0.465,33078.40622,0.996,1124.40185,1.396,21894.80990,1.776,21103.63142,0.641,3775.23555,0,0,0,0,1.269,1035.60341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23765.36051,3397.26864,20396.02395,1.042356705,9.109122278,1.249239337,2017-Jan26-1536-CN-Plate1-34.Raw,2017-jan26-1536-cn-plate1-34.raw,3:B,0.465,30983.17346,0,0,1.396,23765.36051,1.776,20396.02395,0.642,3397.26864,0,0,0,0,0,0,1.315,8052.04811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
375.76036,3985.59273,21955.27682,0.948682226,0.121773863,1.361492568,2017-Jan26-1536-CN-Plate1-50.Raw,2017-jan26-1536-cn-plate1-50.raw,4:B,0.465,37518.36192,0,0,0,0,1.776,21955.27682,0.642,3985.59273,0,0,0,0,0,0,0,0,1.075,24442.88381,1.225,375.76036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9915.75930,4059.05851,21593.33325,0.948682226,3.267294839,1.40983049,2017-Jan26-1536-CN-Plate1-66.Raw,2017-jan26-1536-cn-plate1-66.raw,5:B,0.466,36425.37576,0,0,0,0,1.776,21593.33325,0.642,4059.05851,0,0,0,0,0,0,0,0,0,0,1.225,9915.75930,1.113,28294.56064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27519.44911,4190.91135,21503.83288,0.948682226,9.105544009,1.461685277,2017-Jan26-1536-CN-Plate1-82.Raw,2017-jan26-1536-cn-plate1-82.raw,6:B,0.466,39115.00112,0,0,0,0,1.776,21503.83288,0.643,4190.91135,0,0,0,0,0,0,0,0,0,0,1.227,27519.44911,0,0,1.174,27327.35345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1521.49979,4439.42945,22121.88800,1.337543187,0.689951869,1.505103077,2017-Jan26-1536-CN-Plate1-98.Raw,2017-jan26-1536-cn-plate1-98.raw,7:B,0.466,42613.51230,0,0,0,0,1.776,22121.88800,0.642,4439.42945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.311,17470.96857,1.421,1521.49979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18944.25992,4254.30586,21409.10519,1.337543187,8.876631997,1.490360969,2017-Jan26-1536-CN-Plate1-114.Raw,2017-jan26-1536-cn-plate1-114.raw,8:B,0.467,36801.10798,0,0,0,0,1.777,21409.10519,0.644,4254.30586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.422,18944.25992,1.343,23793.76546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12566.13064,4095.21091,20721.03696,1.337543187,6.083579291,1.482265712,2017-Jan26-1536-CN-Plate1-130.Raw,2017-jan26-1536-cn-plate1-130.raw,9:B,0.467,36242.87260,0,0,0,0,1.776,20721.03696,0.643,4095.21091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.422,12566.13064,0,0,0,0,1.396,25056.41300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8072.00788,3958.35466,21594.02451,2.843725517,7.972544215,1.374809067,2017-Jan26-1536-CN-Plate1-146.Raw,2017-jan26-1536-cn-plate1-146.raw,10:B,0.467,38955.25288,0,0,0,0,1.776,21594.02451,0.644,3958.35466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.577,14467.33599,0.755,8072.00788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10852.98540,4632.83201,20709.69813,2.843725517,11.17697809,1.677776312,2017-Jan26-1536-CN-Plate1-162.Raw,2017-jan26-1536-cn-plate1-162.raw,11:B,0.467,34371.65424,0,0,0,0,1.777,20709.69813,0.643,4632.83201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.755,10852.98540,0.628,18131.42316,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12639.41560,4020.09185,20677.72608,2.843725517,13.03686492,1.458124047,2017-Jan26-1536-CN-Plate1-178.Raw,2017-jan26-1536-cn-plate1-178.raw,12:B,0.467,33973.82049,0,0,0,0,1.776,20677.72608,0.644,4020.09185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.754,12639.41560,0,0,0.704,19025.18300,0,0,0,0,0,0,0,0,0,0,0,0
4098.56161,4323.52621,20640.71283,2.174082389,3.23775549,1.570994551,2017-Jan26-1536-CN-Plate1-194.Raw,2017-jan26-1536-cn-plate1-194.raw,13:B,0.467,38225.70274,0,0,0,0,1.776,20640.71283,0.644,4323.52621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.597,9864.23036,0.723,4098.56161,0,0,0,0,0,0
10145.13506,19378.51905,20686.03231,2.174082389,7.996830791,7.025943609,2017-Jan26-1536-CN-Plate1-210.Raw,2017-jan26-1536-cn-plate1-210.raw,14:B,0.467,36675.13030,0,0,0,0,1.776,20686.03231,0.644,19378.51905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.723,10145.13506,0.644,19378.51905,0,0,0,0
12342.33870,4681.28506,20797.70026,2.174082389,9.676524882,1.688150055,2017-Jan26-1536-CN-Plate1-226.Raw,2017-jan26-1536-cn-plate1-226.raw,15:B,0.467,35872.98162,0,0,0,0,1.776,20797.70026,0.644,4681.28506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.723,12342.33870,0,0,0.706,23582.33319,0,0
,4534.87451,20595.14280,,0,1.651435972,2017-Jan26-1536-CN-Plate1-242.Raw,2017-jan26-1536-cn-plate1-242.raw,16:B,0.468,42226.24484,0,0,0,0,1.776,20595.14280,0.644,4534.87451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,21713.72038,19773.84526,1.042356705,0,8.235773305,2017-Jan26-1536-CN-Plate1-258.Raw,2017-jan26-1536-cn-plate1-258.raw,17:B,0.468,43551.49419,0,0,0,0,1.776,19773.84526,0.641,21713.72038,0,0,1.240,938.52690,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.432,19433.22054
8436.21825,21527.08623,19731.99374,1.042356705,3.342369627,8.182302959,2017-Jan26-1536-CN-Plate1-274.Raw,2017-jan26-1536-cn-plate1-274.raw,18:B,0.468,40744.71196,0,0,1.396,8436.21825,1.776,19731.99374,0.642,21527.08623,0,0,0,0,1.270,4743.28802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.431,28104.39134
61673.74879,38363.64293,20339.08354,1.042356705,23.70536277,14.14652379,2017-Jan26-1536-CN-Plate1-290.Raw,2017-jan26-1536-cn-plate1-290.raw,19:B,0.466,22374.35101,0,0,1.396,61673.74879,1.776,20339.08354,0.641,38363.64293,0,0,0,0,0,0,1.315,7623.29982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.427,56769.41194
0,21897.27330,20322.10230,0.948682226,0,8.081326992,2017-Jan26-1536-CN-Plate1-306.Raw,2017-jan26-1536-cn-plate1-306.raw,20:B,0.467,41915.58357,0,0,0,0,1.776,20322.10230,0.641,21897.27330,0,0,0,0,0,0,0,0,1.076,21612.17468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.432,21480.72186
0,21832.20432,20497.95974,0.948682226,0,7.988187047,2017-Jan26-1536-CN-Plate1-322.Raw,2017-jan26-1536-cn-plate1-322.raw,21:B,0.468,45078.64055,0,0,0,0,1.776,20497.95974,0.641,21832.20432,0,0,0,0,0,0,0,0,0,0,0,0,1.113,39362.28092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.431,26841.39667
5127.47641,26039.50071,20931.84383,0.948682226,1.742923089,9.330103062,2017-Jan26-1536-CN-Plate1-338.Raw,2017-jan26-1536-cn-plate1-338.raw,22:B,0.468,39953.82124,0,0,0,0,1.776,20931.84383,0.642,26039.50071,0,0,0,0,0,0,0,0,0,0,1.226,5127.47641,0,0,1.174,40496.41857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.432,30457.65079
0,22935.31856,19902.66927,1.337543187,0,8.642805202,2017-Jan26-1536-CN-Plate1-354.Raw,2017-jan26-1536-cn-plate1-354.raw,23:B,0.468,44897.04619,0,0,0,0,1.776,19902.66927,0.641,22935.31856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.311,19092.69790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.432,24530.74253
2201.35710,20364.16001,19507.26104,1.337543187,1.132043957,7.829454047,2017-Jan26-1536-CN-Plate1-370.Raw,2017-jan26-1536-cn-plate1-370.raw,24:B,0.468,43850.78693,0,0,0,0,1.776,19507.26104,0.641,20364.16001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.421,2201.35710,1.342,34400.25148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.432,28363.20856
43049.81197,5562.91289,18226.26777,1.042356705,18.46507819,2.289105386,2017-Jan26-1536-CN-Plate1-3.Raw,2017-jan26-1536-cn-plate1-3.raw,1:C,0.465,15449.57123,0.997,10964.77850,1.397,43049.81197,1.776,18226.26777,0,0,0.525,5562.91289,1.240,2641.47737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35263.57269,5523.45774,20463.77097,1.042356705,13.47157217,2.024354854,2017-Jan26-1536-CN-Plate1-19.Raw,2017-jan26-1536-cn-plate1-19.raw,2:C,0.465,23885.23892,0,0,1.396,35263.57269,1.776,20463.77097,0,0,0.525,5523.45774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103335.2374,7357.33317,21609.54229,1.042356705,37.38354754,2.55350157,2017-Jan26-1536-CN-Plate1-35.Raw,2017-jan26-1536-cn-plate1-35.raw,3:C,0.464,5599.70817,0.999,11902.49558,1.396,103335.2374,1.776,21609.54229,0,0,0.524,7357.33317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3531.66445,6850.10419,20795.77303,0.948682226,1.208332351,2.470491606,2017-Jan26-1536-CN-Plate1-51.Raw,2017-jan26-1536-cn-plate1-51.raw,4:C,0.465,37372.11162,0,0,0,0,1.776,20795.77303,0,0,0.524,6850.10419,0,0,0,0,0,0,1.075,19038.68391,1.223,3531.66445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123115.08450,8322.97149,22080.83322,0.948682226,39.67142934,2.826989684,2017-Jan26-1536-CN-Plate1-67.Raw,2017-jan26-1536-cn-plate1-67.raw,5:C,0.465,4918.45227,0,0,0,0,1.777,22080.83322,0,0,0.525,8322.97149,0,0,0,0,0,0,0,0,1.224,123115.08450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129435.9813,7958.91022,22364.96173,0.948682226,41.17834608,2.668988611,2017-Jan26-1536-CN-Plate1-83.Raw,2017-jan26-1536-cn-plate1-83.raw,6:C,0.465,3423.84766,0,0,0,0,1.776,22364.96173,0,0,0.525,7958.91022,0,0,0,0,0,0,0,0,1.224,129435.9813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
